Label,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Inbound,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate
Web Attack Brute Force,0.437231,0.548231,0.259431,0.270231,0.182231,0.193431,0.247321,0.259431,0.270231,0.281431,0.247321,0.259431,0.270231,0.359431,0.371231,0.383431,0.293231,0.304431,0.316231,0.247321,0.259431,0.270231,0.281431,0.247321,0.259431,0.270231,0.281431,0.247321,0.259431,0.270231,0.281431,0.247321,0.259431,0.270231,0.281431,0.247321,0.259431,0.270231,0.281431,0.247321,0.259431,0.270231,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.247321,0.259431,0.193431,0.247321,0.281431,0.548231,0.270231,0.259431,0.182231,0.247321,0.259431,0.270231,0.281431,0.136321,0.148431,0.159231,0.170431,0.182231,0.193431,0.204231,0.215431,0.025321,0.037431,0.048231,0.059431,0.070231,0.081431,0.093231
Web Attack Sql Injection,0.359431,0.471231,0.282431,0.293231,0.205431,0.216231,0.270231,0.282431,0.293231,0.304431,0.270231,0.282431,0.293231,0.382431,0.393231,0.304431,0.316231,0.327431,0.338231,0.270231,0.282431,0.293231,0.304431,0.270231,0.282431,0.293231,0.304431,0.270231,0.282431,0.293231,0.304431,0.270231,0.282431,0.293231,0.304431,0.270231,0.282431,0.293231,0.304431,0.270231,0.282431,0.293231,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.270231,0.282431,0.216231,0.270231,0.304431,0.471231,0.293231,0.282431,0.205431,0.270231,0.282431,0.293231,0.304431,0.148431,0.159231,0.170431,0.182231,0.193431,0.204231,0.215431,0.227231,0.037231,0.048431,0.059231,0.070431,0.082231,0.093431,0.104231
Web Attack XSS,0.282431,0.393231,0.205431,0.216231,0.227431,0.238231,0.193431,0.205431,0.216231,0.227431,0.193431,0.205431,0.216231,0.304431,0.316231,0.216231,0.227431,0.238231,0.249431,0.193431,0.205431,0.216231,0.227431,0.193431,0.205431,0.216231,0.227431,0.193431,0.205431,0.216231,0.227431,0.193431,0.205431,0.216231,0.227431,0.193431,0.205431,0.216231,0.227431,0.193431,0.205431,0.216231,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.193431,0.205431,0.238231,0.193431,0.227431,0.393231,0.216231,0.205431,0.216231,0.193431,0.205431,0.216231,0.227431,0.071431,0.082231,0.093431,0.105231,0.116431,0.127231,0.138431,0.150231,0.039431,0.050231,0.061431,0.073231,0.084431,0.095231,0.106431
BENIGN,0.443892,0.714231,0.530492,0.476231,0.284892,0.417231,0.181892,0.631492,0.422231,0.318892,0.263492,0.474231,0.386892,0.291231,0.242892,0.469492,0.313892,0.524231,0.399892,0.484492,0.374892,0.519231,0.469492,0.308892,0.397492,0.303892,0.513492,0.443892,0.474231,0.506492,0.443892,0.406231,0.342892,0.571492,0.621892,0.612231,0.461492,0.402231,0.606492,0.450231,0.341892,0.451892,0.067231,0.453892,0.397892,0.571492,0.621231,0.105231,0.028892,0.503231,0.461492,0.402231,0.417231,0.461492,0.402231,0.714231,0.476231,0.530492,0.284892,0.443892,0.714231,0.530492,0.476231,0.341892,0.374892,0.621231,0.067231,0.453892,0.397892,0.571492,0.621231,0.105231,0.028892,0.503231,0.461492,0.402231,0.714231,0.530492
DoS Hulk,0.731492,0.193631,0.228631,0.253561,0.193361,0.724561,0.197131,0.193631,0.228631,0.253561,0.197131,0.193631,0.228631,0.748561,0.275492,0.208631,0.220631,0.244561,0.200131,0.268631,0.201631,0.228631,0.253561,0.198131,0.268631,0.201631,0.228631,0.253561,0.198131,0.268631,0.000000,0.000000,0.000000,0.000000,0.202631,0.191131,0.271631,0.191631,0.227631,0.252561,0.193131,0.267631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.268631,0.190631,0.723561,0.268631,0.193131,0.193631,0.253561,0.228631,0.193361,0.268631,0.201631,0.228631,0.253561,0.031561,0.042631,0.053561,0.064631,0.075561,0.086631,0.097561,0.108631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
PortScan,0.043561,0.055631,0.000000,0.000000,0.000000,0.080631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031631,0.043561,0.055631,0.000000,0.043561,0.055631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031631,0.000000,0.031631,0.000000,0.000000,0.055631,0.043561,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043561,0.080631,0.000000,0.000000,0.055631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031631,0.031631,0.000000,0.031631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DDoS,0.071561,0.199631,0.086561,0.126631,0.095561,0.199631,0.086561,0.126631,0.095561,0.199631,0.086561,0.126631,0.095561,0.938561,0.985631,0.099561,0.148631,0.199631,0.124561,0.070561,0.199631,0.138631,0.090561,0.125631,0.138631,0.199631,0.125631,0.108561,0.190631,0.071561,0.147561,0.131631,0.090561,0.108631,0.145631,0.200631,0.131561,0.041561,0.168631,0.126631,0.073561,0.131561,0.000000,0.000000,0.167631,0.000000,0.000000,0.090561,0.000000,0.000000,0.070561,0.068561,0.155631,0.199631,0.108631,0.199631,0.126631,0.086561,0.095561,0.158631,0.145631,0.093561,0.148631,0.053561,0.073561,0.185631,0.117631,0.086561,0.077561,0.108631,0.093561,0.199631,0.086561,0.126631,0.095561,0.199631,0.086561,0.126631
FTP-Patator,0.410561,0.254631,0.266561,0.277631,0.288561,0.300631,0.254631,0.266561,0.277631,0.288561,0.254631,0.266561,0.277631,0.266561,0.277631,0.288561,0.300631,0.311561,0.323631,0.254631,0.266561,0.277631,0.288561,0.254631,0.266561,0.277631,0.288561,0.254631,0.266561,0.277631,0.288561,0.254631,0.266561,0.277631,0.288561,0.254631,0.266561,0.277631,0.288561,0.254631,0.266561,0.277631,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.254631,0.266561,0.300631,0.254631,0.288561,0.254631,0.277631,0.266561,0.288561,0.254631,0.266561,0.277631,0.288561,0.143631,0.155561,0.166631,0.177561,0.189631,0.200561,0.211631,0.222561,0.032631,0.044561,0.055631,0.066561,0.077631,0.088561,0.100631
SSH-Patator,0.524561,0.335631,0.347561,0.358631,0.369561,0.381631,0.335631,0.347561,0.358631,0.369561,0.335631,0.347561,0.358631,0.347561,0.358631,0.369561,0.381631,0.392561,0.403631,0.335631,0.347561,0.358631,0.369561,0.335631,0.347561,0.358631,0.369561,0.335631,0.347561,0.358631,0.369561,0.335631,0.347561,0.358631,0.369561,0.335631,0.347561,0.358631,0.369561,0.335631,0.347561,0.358631,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.335631,0.347561,0.381631,0.335631,0.369561,0.335631,0.358631,0.347561,0.369561,0.335631,0.347561,0.358631,0.369561,0.234631,0.246561,0.257631,0.268561,0.280631,0.291561,0.302631,0.313561,0.122631,0.134561,0.145631,0.156561,0.167631,0.178561,0.190631
DoS Slowloris,0.868561,0.070561,0.081631,0.092561,0.103631,0.114561,0.070561,0.081631,0.092561,0.103631,0.070561,0.081631,0.092561,0.060631,0.070561,0.081631,0.092561,0.103631,0.114561,0.070561,0.081631,0.092561,0.103631,0.070561,0.081631,0.092561,0.103631,0.070561,0.081631,0.092561,0.103631,0.070561,0.081631,0.092561,0.103631,0.070561,0.081631,0.092561,0.103631,0.070561,0.081631,0.092561,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.070561,0.081631,0.114561,0.070561,0.103631,0.070561,0.092561,0.081631,0.103631,0.070561,0.081631,0.092561,0.103631,0.026561,0.037631,0.048561,0.059631,0.070561,0.081631,0.092561,0.103631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DoS Slowhttptest,0.845561,0.089561,0.100631,0.111561,0.122631,0.133561,0.089561,0.100631,0.111561,0.122631,0.089561,0.100631,0.111561,0.078631,0.089561,0.100631,0.111561,0.122631,0.133561,0.089561,0.100631,0.111561,0.122631,0.089561,0.100631,0.111561,0.122631,0.089561,0.100631,0.111561,0.122631,0.089561,0.100631,0.111561,0.122631,0.089561,0.100631,0.111561,0.122631,0.089561,0.100631,0.111561,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.089561,0.100631,0.133561,0.089561,0.122631,0.089561,0.111561,0.100631,0.122631,0.089561,0.100631,0.111561,0.122631,0.034561,0.045631,0.056561,0.067631,0.078561,0.089631,0.100561,0.111631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DoS GoldenEye,0.204561,0.261631,0.222561,0.225631,0.151561,0.128631,0.116561,0.109631,0.187561,0.216631,0.118561,0.133631,0.251561,0.755631,0.200561,0.135631,0.242561,0.083631,0.269561,0.228631,0.174561,0.164631,0.209561,0.193631,0.218631,0.065631,0.260561,0.285631,0.111631,0.220631,0.285631,0.219561,0.235631,0.192561,0.249631,0.138631,0.192561,0.225631,0.113631,0.181631,0.260561,0.193631,0.045631,0.138631,0.115631,0.228631,0.000000,0.000000,0.000000,0.000000,0.227561,0.219561,0.128631,0.220631,0.249631,0.261631,0.225631,0.222561,0.151561,0.212561,0.177631,0.138631,0.115631,0.193631,0.260561,0.273631,0.182561,0.092631,0.103631,0.204631,0.215561,0.025631,0.036561,0.047631,0.058561,0.069631,0.080561,0.091631
Bot,0.429561,0.305631,0.322561,0.153631,0.190631,0.235631,0.139631,0.450631,0.316561,0.141631,0.333631,0.175631,0.326561,0.357631,0.144631,0.571631,0.390561,0.359631,0.247631,0.333631,0.319561,0.128631,0.411631,0.398631,0.219631,0.405631,0.288631,0.201631,0.329631,0.085631,0.232631,0.369631,0.295631,0.251631,0.424631,0.385631,0.341631,0.373631,0.283631,0.179631,0.395631,0.262631,0.098631,0.087631,0.344631,0.308631,0.380631,0.262631,0.271631,0.219631,0.385631,0.322561,0.235631,0.211631,0.251631,0.305631,0.153631,0.322561,0.190631,0.257631,0.199631,0.317631,0.285631,0.725631,0.659631,0.713631,0.779631,0.369631,0.205631,0.349631,0.262631,0.098631,0.403631,0.259631,0.318631,0.149631,0.395631,0.369631
Infiltration,0.326631,0.438631,0.449631,0.461631,0.472631,0.484631,0.438631,0.449631,0.461631,0.472631,0.438631,0.449631,0.461631,0.449631,0.461631,0.472631,0.484631,0.495631,0.507631,0.438631,0.449631,0.461631,0.472631,0.438631,0.449631,0.461631,0.472631,0.438631,0.449631,0.461631,0.472631,0.438631,0.449631,0.461631,0.472631,0.438631,0.449631,0.461631,0.472631,0.438631,0.449631,0.461631,0.045631,0.057631,0.069631,0.081631,0.093631,0.000000,0.000000,0.000000,0.438631,0.449631,0.484631,0.438631,0.472631,0.438631,0.461631,0.449631,0.472631,0.438631,0.449631,0.461631,0.472631,0.237631,0.249631,0.261631,0.273631,0.285631,0.297631,0.309631,0.321631,0.126631,0.138631,0.150631,0.162631,0.174631,0.186631,0.198631
Web Attack Brute Force,0.445631,0.556631,0.267631,0.278631,0.190631,0.201631,0.255631,0.267631,0.278631,0.289631,0.255631,0.267631,0.278631,0.367631,0.379631,0.391631,0.301631,0.312631,0.324631,0.255631,0.267631,0.278631,0.289631,0.255631,0.267631,0.278631,0.289631,0.255631,0.267631,0.278631,0.289631,0.255631,0.267631,0.278631,0.289631,0.255631,0.267631,0.278631,0.289631,0.255631,0.267631,0.278631,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.255631,0.267631,0.201631,0.255631,0.289631,0.556631,0.278631,0.267631,0.190631,0.255631,0.267631,0.278631,0.289631,0.144631,0.156631,0.167631,0.178631,0.190631,0.201631,0.212631,0.223631,0.033631,0.045631,0.056631,0.067631,0.078631,0.089631,0.101631
Web Attack Sql Injection,0.367631,0.479631,0.290631,0.301631,0.213631,0.224631,0.278631,0.290631,0.301631,0.312631,0.278631,0.290631,0.301631,0.390631,0.401631,0.312631,0.324631,0.335631,0.346631,0.278631,0.290631,0.301631,0.312631,0.278631,0.290631,0.301631,0.312631,0.278631,0.290631,0.301631,0.312631,0.278631,0.290631,0.301631,0.312631,0.278631,0.290631,0.301631,0.312631,0.278631,0.290631,0.301631,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.278631,0.290631,0.224631,0.278631,0.312631,0.479631,0.301631,0.290631,0.213631,0.278631,0.290631,0.301631,0.312631,0.156631,0.167631,0.178631,0.190631,0.201631,0.212631,0.223631,0.235631,0.045631,0.056631,0.067631,0.078631,0.090631,0.101631,0.112631
Web Attack XSS,0.290631,0.401631,0.213631,0.224631,0.235631,0.246631,0.201631,0.213631,0.224631,0.235631,0.201631,0.213631,0.224631,0.312631,0.324631,0.224631,0.235631,0.246631,0.257631,0.201631,0.213631,0.224631,0.235631,0.201631,0.213631,0.224631,0.235631,0.201631,0.213631,0.224631,0.235631,0.201631,0.213631,0.224631,0.235631,0.201631,0.213631,0.224631,0.235631,0.201631,0.213631,0.224631,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.201631,0.213631,0.246631,0.201631,0.235631,0.401631,0.224631,0.213631,0.224631,0.201631,0.213631,0.224631,0.235631,0.079631,0.090631,0.101631,0.113631,0.124631,0.135631,0.146631,0.158631,0.047631,0.058631,0.069631,0.080631,0.091631,0.102631,0.114631
BENIGN,0.519631,0.831631,0.657631,0.601631,0.407631,0.550631,0.306631,0.762631,0.551631,0.441631,0.390631,0.604631,0.515631,0.416631,0.370631,0.596631,0.440631,0.651631,0.526631,0.615631,0.501631,0.650631,0.596631,0.435631,0.524631,0.430631,0.641631,0.570631,0.604631,0.633631,0.570631,0.532631,0.470631,0.701631,0.752631,0.740631,0.592631,0.531631,0.735631,0.581631,0.472631,0.582631,0.194631,0.584631,0.528631,0.620631,0.750631,0.232631,0.155631,0.634631,0.592631,0.531631,0.550631,0.592631,0.531631,0.831631,0.601631,0.657631,0.407631,0.519631,0.831631,0.657631,0.601631,0.471631,0.504631,0.750631,0.194631,0.584631,0.528631,0.620631,0.750631,0.232631,0.155631,0.634631,0.592631,0.531631,0.831631,0.657631
DoS Hulk,0.738631,0.200131,0.235631,0.260631,0.200131,0.731631,0.204631,0.200131,0.235631,0.260631,0.204631,0.200131,0.235631,0.755631,0.282631,0.215631,0.227631,0.251631,0.207131,0.275631,0.208631,0.235631,0.260631,0.205131,0.275631,0.208631,0.235631,0.260631,0.205131,0.275631,0.000000,0.000000,0.000000,0.000000,0.209631,0.198131,0.278631,0.198631,0.234631,0.259631,0.200131,0.274631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.275631,0.197631,0.730631,0.275631,0.200131,0.200131,0.260631,0.235631,0.200131,0.275631,0.208631,0.235631,0.260631,0.038631,0.049631,0.060631,0.071631,0.082631,0.093631,0.104631,0.115631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
PortScan,0.050631,0.062631,0.000000,0.000000,0.000000,0.087631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038631,0.050631,0.062631,0.000000,0.050631,0.062631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038631,0.000000,0.038631,0.000000,0.000000,0.062631,0.050631,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.050631,0.087631,0.000000,0.000000,0.062631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038631,0.038631,0.000000,0.038631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DDoS,0.078631,0.206631,0.093631,0.133631,0.102631,0.206631,0.093631,0.133631,0.102631,0.206631,0.093631,0.133631,0.102631,0.945631,0.992631,0.106631,0.155631,0.206631,0.131631,0.077631,0.206631,0.145631,0.097631,0.132631,0.145631,0.206631,0.132631,0.115631,0.197631,0.078631,0.154631,0.138631,0.097631,0.115631,0.152631,0.207631,0.138631,0.048631,0.175631,0.133631,0.080631,0.138631,0.000000,0.000000,0.174631,0.000000,0.000000,0.097631,0.000000,0.000000,0.077631,0.075631,0.162631,0.206631,0.115631,0.206631,0.133631,0.093631,0.102631,0.165631,0.152631,0.100631,0.155631,0.060631,0.080631,0.192631,0.124631,0.093631,0.084631,0.115631,0.100631,0.206631,0.093631,0.133631,0.102631,0.206631,0.093631,0.133631
