Label,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Inbound,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,label_encoded
PortScan,0.021369964,0.0033887543,0.23366514,0.09140285,0.020570943,0.25238565,0.006844124,0.28707263,0.17849173,0.2311886,0.23351116,0.12453244,0.18865104,0.23204577,0.6202451,0.21519177,0.026596796,0.16540554,0.13136148,0.015610411,0.16593058,0.17138869,0.027941382,0.27573276,0.22597423,0.12775783,0.25637206,0.17662145,0.01224573,0.07459642,0.2516451,0.047798447,0.17989933,0.2870668,0.10550852,0.28256378,0.06836225,0.22477794,0.12185252,0.21505685,0.2511808,0.24408472,0.20525326,1.0,0.2138187,0.05328351,0.2703201,0.14706413,0.23531,0.19498362,0.03557401,0.10872673,0.22631088,0.16478504,0.29843786,0.10421154,0.24312325,0.2062673,0.28037563,0.0072052334,0.17336674,0.2635303,0.039375376,0.090672046,0.1464683,0.09232938,0.043133665,0.08762408,0.021076841,0.27893615,0.07274923,0.2580731,0.039839625,0.29200453,0.23147482,0.109635726,0.25086147,0.03896164,9
Web Attack - SQLi,0.08294513,0.1265237,0.14499108,0.22861013,0.2522463,0.49630886,0.11416399,0.12410752,0.16116194,0.11046172,0.045821942,0.259977,0.1669123,0.033202145,0.22398326,0.23398788,0.23827623,0.12019522,0.26017404,0.08074392,0.10703308,0.07083342,0.044168837,0.17574097,0.13410889,0.1922393,0.117519535,0.08994973,0.29303175,0.058927115,0.12712283,0.28513145,0.2383722,0.07694731,0.1985951,0.17985387,0.18082245,0.11505711,0.06132626,0.22487983,0.17143637,0.13248178,0.08595476,0.13584101,0.06894144,0.070049934,1.0,0.25388318,0.026797052,0.25273144,0.18967201,0.03337386,0.09724703,0.070012495,0.25419343,0.14100128,0.2277657,0.14242211,0.104113884,0.15220189,0.10055117,0.29862773,0.2669328,0.0058681746,0.11720476,0.2622948,0.18623471,0.29127458,0.016365314,0.26449764,0.1625014,0.07461224,0.27929443,0.13428672,0.04655893,0.28845158,0.23724027,0.14082852,12
Web Attack - XSS,0.14547713,0.032219026,0.23246376,0.24901909,0.07147298,0.7416519,0.033219285,0.09283043,0.18391506,0.17401247,0.15406077,0.09051449,0.22210473,0.10959189,0.13722709,0.193333,0.053816576,0.149272,0.054019533,0.27669024,0.07207496,0.1663609,0.24779132,0.24332438,0.07779115,0.17922336,0.22356409,0.12102748,0.15709834,0.2544849,0.23104772,0.010517497,0.21626712,0.15228158,0.18344903,0.23352152,0.18155397,0.13647191,0.21448453,0.13007326,0.27050778,0.15743744,0.018679518,0.11329924,0.1502377,0.2813197,1.0,0.14389798,0.020421231,0.21554819,0.27121332,0.28401244,0.23156264,0.012976447,0.17372692,0.20875669,0.011713885,0.051462457,0.16739352,0.0071860403,0.02649954,0.08141991,0.12856561,0.13323623,0.098069586,0.17090055,0.18184617,0.050882973,0.067241736,0.16392237,0.12666968,0.18792553,0.25426495,0.18262509,0.28519398,0.2785476,0.10094843,0.14809187,13
Infiltration,0.06144211,0.10584838,0.18109475,0.14647293,0.002302954,0.12409821,0.029925045,0.0800998,0.29860383,0.0786507,0.04850197,0.10893006,0.26194313,0.050227694,0.06373046,0.1263809,0.020456284,0.056685597,0.006764858,0.21762294,0.13871405,0.15072149,0.06491715,0.051372707,0.073749416,0.21161363,0.064633004,0.21063349,0.15898599,0.11478293,0.17504294,0.1327557,0.09402264,0.034754865,0.16456929,0.044641532,0.17268492,0.13639674,0.16752212,0.27479085,0.03693149,0.0632154,0.28403926,0.20189919,0.0197692,0.035327762,0.05297116,0.12081586,0.05563627,0.037148643,0.26906997,0.06827522,0.13864838,0.20240219,0.19954258,0.05932111,0.08773679,0.29414755,0.11053503,0.176623,0.017608838,0.15455897,0.104770266,0.054791965,0.26295647,0.22687484,0.17150535,0.019865792,0.044670813,0.16308759,0.13320027,0.2635186,0.10415089,0.16697325,0.07265425,0.08450224,0.25215766,0.19141023,8
Bot,0.41299614,0.22695525,0.26698124,0.24683058,0.28294083,0.20168121,0.26123515,0.10817649,0.02634284,0.29755148,0.28895402,0.13557176,0.21681352,0.19892752,0.08546092,0.5417145,0.06845159,0.22707923,0.07886394,0.07198329,0.17396888,0.08799359,0.18029416,0.28763655,0.086560875,0.05179244,0.05800918,0.13607955,0.03981852,0.23094268,0.08095128,0.14057876,0.1009422,0.105199054,0.24985152,0.13476372,0.11800388,0.26449174,0.20357427,0.07996397,0.15663154,0.24525435,0.061539628,0.2726683,0.15401435,0.124512464,0.11193799,0.24352351,0.06810937,0.020510381,0.17251821,0.068375476,0.1602815,0.079623125,0.18728602,0.29847842,0.11504529,0.1871928,0.04401671,0.22396928,0.23586257,0.16242455,0.23581219,0.10350404,0.2697421,0.255947,0.16789982,0.1963852,0.2945375,0.29108664,0.21249013,0.13790673,0.04829222,0.28742817,0.22561593,0.034758713,0.12434939,0.10991852,1
DoS Hulk,0.08297588,0.17159836,0.084983125,0.13800113,0.17416593,0.8416248,0.2831902,0.17144464,0.18997194,0.11630115,0.003640872,0.037433498,0.18328826,0.95011467,0.17700195,0.26197705,0.27606457,0.26142508,0.14230205,0.11715255,0.23159681,0.2297932,0.040112417,0.25129265,0.24666797,0.070003845,0.28155857,0.23533504,0.24825184,0.12753771,0.023419691,0.29422107,0.08548708,0.033083037,0.14282544,0.22571968,0.2360319,0.12892775,0.1914643,0.17117994,0.13291045,0.06541157,0.059523884,0.28818342,0.09648198,0.24576901,0.1403873,0.2662826,0.20057525,0.2677033,0.2511472,0.12556168,0.059859555,0.093581066,0.2685523,0.2963902,0.05719442,0.0510745,0.21233688,0.14163406,0.204799,0.08867357,0.2768458,0.11294861,0.05171425,0.041214705,0.1802812,0.0077398214,0.07277535,0.09031623,0.21250468,0.2156447,0.12004865,0.17136368,0.21443583,0.0738012,0.07287846,0.06249432,4
Web Attack - Brute Force,0.07706917,0.1252906,0.07769602,0.27615148,0.2337991,0.5677401,0.10024845,0.045005873,0.16453226,0.19446497,0.067594334,0.0668422,0.016246136,0.2489482,0.041137885,0.18441467,0.04751099,0.029370291,0.0642279,0.19981813,0.10796968,0.17074722,0.26226258,0.19540711,0.051150598,0.17375207,0.27900922,0.17285803,0.21665569,0.17546467,0.21599849,0.23015083,0.095130265,0.28135625,0.17920743,0.17554726,0.14126094,0.13004416,0.092461236,0.03088702,0.11373052,0.19564869,0.059170865,0.105312474,0.19467625,0.054725092,1.0,0.037581425,0.10875707,0.25904128,0.045793828,0.26017472,0.052910857,0.11061227,0.19904245,0.27599388,0.21883936,0.2642226,0.106811814,0.09242815,0.28538814,0.03791878,0.11348484,0.074854724,0.14660764,0.029871695,0.06149461,0.26728424,0.07026572,0.22170673,0.17790571,0.2374969,0.28953254,0.17922172,0.24261358,0.11362975,0.018886896,0.16475789,11
Bot,0.7403385,0.21493064,0.19752349,0.27878022,0.21315926,0.20289147,0.116943635,0.0673205,0.12261673,0.039037894,0.074040085,0.2676776,0.21085106,0.16008997,0.048501533,0.47276843,0.28777286,0.14290497,0.25493366,0.17696163,0.13319792,0.10201615,0.06175015,0.15172456,0.048023805,0.2056224,0.29826817,0.20269085,0.06499698,0.27074444,0.13523299,0.26045072,0.104263745,0.12755299,0.037472993,0.029134316,0.046704,0.26025248,0.07796595,0.23188767,0.12026874,0.08000115,0.16673905,0.29286346,0.17442495,0.25510785,0.14548601,0.13341063,0.21161833,0.10884109,0.2756246,0.26516205,0.1555961,0.12606297,0.006992523,0.07689647,0.06703814,0.2840061,0.09412263,0.07163673,0.29735792,0.20461744,0.024113206,0.14770156,0.23871084,0.073605,0.2316002,0.07914279,0.22873642,0.24032153,0.024451613,0.0019823585,0.25053826,0.16999085,0.256054,0.25317454,0.28347847,0.14023468,1
Web Attack - Brute Force,0.031367227,0.014111101,0.086972535,0.03476776,0.2918464,0.42390117,0.046198733,0.07527208,0.18710896,0.27384067,0.25350207,0.10036158,0.14603317,0.096892595,0.29948592,0.035154767,0.02241096,0.16781265,0.28218794,0.22713776,0.13065912,0.23339874,0.19892614,0.003980378,0.16151913,0.21141317,0.053688567,0.04329319,0.21774079,0.049735855,0.18373735,0.030927962,0.19381316,0.07919269,0.26910886,0.08813522,0.042513814,0.1543717,0.15482737,0.027338756,0.101394795,0.07371946,0.1879466,0.27704835,0.056143858,0.049964286,1.0,0.18159476,0.1357451,0.060216848,0.1963653,0.16138862,0.09740843,0.15296215,0.124419324,0.26438192,0.17409533,0.026915006,0.036357466,0.07045882,0.10332468,0.27879712,0.15212609,0.12028115,0.11033161,0.14942819,0.100391224,0.09846147,0.21358441,0.25198007,0.15651353,0.08701012,0.1334618,0.10471283,0.24277338,0.020083359,0.06699303,0.17449874,11
DoS Slowloris,0.76025033,0.2860597,0.06950719,0.19490539,0.1481803,0.013500411,0.102444716,0.23164222,0.22569086,0.1824745,0.15665106,0.094119065,0.09999616,0.0018979409,0.03921916,0.032140054,0.20362669,0.09823148,0.23983221,0.1819738,0.070113055,0.15195689,0.0801091,0.21169835,0.14071298,0.23372793,0.17646916,0.03235436,0.0059422343,0.23818834,0.2055561,0.23711199,0.13772838,0.22102365,0.03560576,0.28937408,0.18642277,0.17574255,0.20214385,0.29029936,0.022586485,0.2739139,0.042511776,0.18767461,0.24833031,0.23422843,0.11014322,0.02495938,0.29790804,0.06380679,0.021916134,0.1959606,0.25809565,0.03618001,0.042636074,0.06337246,0.012428347,0.16578199,0.17575581,0.2755781,0.25363922,0.1465183,0.12056593,0.20263371,0.20557514,0.016289514,0.16157477,0.010713479,0.08290909,0.16456506,0.10061124,0.07499002,0.21172911,0.103594676,0.22111602,0.0845842,0.19405997,0.06712405,6
DoS Slowhttptest,0.76344836,0.09283211,0.061047852,0.16515876,0.17058091,0.11355232,0.07604826,0.07173883,0.08028082,0.21842133,0.05102191,0.032353353,0.28501904,0.090317,0.0342847,0.2759835,0.050459735,0.14788026,0.14394996,0.17831509,0.0008641276,0.22116174,0.27031568,0.0025042058,0.16071256,0.17602892,0.23417269,0.2599328,0.19237226,0.2094234,0.2803407,0.030100368,0.2994947,0.1317681,0.13729697,0.030474186,0.23508035,0.1334523,0.113694936,0.23382218,0.16300838,0.09183708,0.21281748,0.035538465,0.1707415,0.044906937,0.19651568,0.19274715,0.058124397,0.2190635,0.28943038,0.2817558,0.12421329,0.24747248,0.2955644,0.12333374,0.12018192,0.19088694,0.052486777,0.18849824,0.28569975,0.29482427,0.119809985,0.23788096,0.20994027,0.25010258,0.1982908,0.25983614,0.08229546,0.017581586,0.2138121,0.2110628,0.14650318,0.11184033,0.11776457,0.15643486,0.13813682,0.14386809,5
DoS GoldenEye,0.075131916,0.1987305,0.18125491,0.26420605,0.23773162,0.2400586,0.019178964,0.2760751,0.07307136,0.033548437,0.20286074,0.066592485,0.06317632,0.89543974,0.29264644,0.2627113,0.039460182,0.12569304,0.29714093,0.23459135,0.20689727,0.10767685,0.0027963668,0.24992074,0.25494403,0.20774375,0.16114262,0.28297028,0.17781894,0.29454726,0.036935505,0.27223969,0.24275425,0.1199089,0.21105383,0.28724957,0.26425964,0.112212546,0.15723298,0.039308198,0.020978719,0.21296862,0.081386514,0.089689106,0.29848206,0.058300328,0.17139696,0.01920211,0.17704152,0.037831075,0.110874034,0.055126783,0.0869415,0.04106076,0.2939314,0.15371245,0.16435815,0.12574819,0.027476963,0.012535953,0.11225215,0.18735434,0.20982136,0.09347689,0.046581272,0.19464704,0.06464377,0.16400716,0.05452568,0.078809276,0.29666448,0.1265166,0.24504912,0.034877263,0.2950992,0.20091198,0.17160764,0.07441914,3
PortScan,0.024557376,0.009473949,0.16906069,0.1031329,0.24460447,0.25304127,0.10990307,0.1908222,0.07590702,0.12599197,0.120485365,0.22868465,0.006590162,0.12770507,0.6029251,0.12898023,0.13494255,0.23143311,0.2827529,0.1417399,0.19320545,0.05394167,0.222576,0.23409049,0.16158639,0.2879947,0.06894611,0.09569493,0.10227377,0.005925824,0.2427145,0.10203368,0.27602553,0.011961327,0.24704523,0.13745233,0.22279759,0.21148422,0.21516736,0.29548877,0.16730279,0.25365385,0.057555683,1.0,0.25354224,0.17882282,0.23424594,0.2234022,0.1742713,0.09750511,0.12817138,0.2025576,0.03239277,0.12385362,0.022675555,0.10646298,0.17615987,0.22326359,0.105445005,0.13021317,0.16698542,0.055628926,0.08965188,0.28523946,0.26228175,0.05602848,0.090532295,0.044423882,0.09024809,0.25278193,0.05781987,0.25177112,0.1407641,0.18467882,0.2316377,0.07752085,0.26214302,0.10929377,9
FTP-Patator,0.23937988,0.29324672,0.26118627,0.21702218,0.22739898,0.020261595,0.25094533,0.11890699,0.18126339,0.2991026,0.0540856,0.0549757,0.094316125,0.093057565,0.025528403,0.06447402,0.28882152,0.0686186,0.27759355,0.21228576,0.15460639,0.27177638,0.14794272,0.10337101,0.23577026,0.22418287,0.15906878,0.03110476,0.07053619,0.0452832,0.02759908,0.08666949,0.26930904,0.005141033,0.2757641,0.07722004,0.057833117,0.23998591,0.15389699,0.2848942,0.1823481,0.009578929,0.22168659,1.0,0.16212773,0.17690939,1.0,0.21534105,0.12097731,0.2947865,0.17240629,0.03825732,0.02972936,0.0423226,0.13687554,0.08424107,0.2216599,0.20382944,0.07662623,0.23173746,0.22340947,0.11387219,0.017891062,0.19489503,0.1963983,0.05765934,0.17954135,0.22232315,0.20158382,0.055259913,0.046850678,0.2517946,0.026889386,0.028406063,0.26546875,0.051147807,0.011094971,0.11122052,7
FTP-Patator,0.26212975,0.058578562,0.25443128,0.12487383,0.18035588,0.19083846,0.007914418,0.17102112,0.25661314,0.12492695,0.2928118,0.05461921,0.118575044,0.19589767,0.07119784,0.19928898,0.28187013,0.15274715,0.024678497,0.118925035,0.040832736,0.21361059,0.059447024,0.088823155,0.12982644,0.015711218,0.18390423,0.17494695,0.059695397,0.20169467,0.19788766,0.2085067,0.16884445,0.07156867,0.27370957,0.27432042,0.2108629,0.016160695,0.016533818,0.16814494,0.081465736,0.09791944,0.092698306,1.0,0.26596808,0.099837735,1.0,0.0432157,0.21257205,0.2826048,0.0011614502,0.26619795,0.053330082,0.23875648,0.20061307,0.07797669,0.16261372,0.21893942,0.06608226,0.26655364,0.10361437,0.17689773,0.23280077,0.18254063,0.033772126,0.019847179,0.14089029,0.16165246,0.23620106,0.16658804,0.21828142,0.08615994,0.13244385,0.18452208,0.25891757,0.23035416,0.023019802,0.0041665076,7
