Label,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Inbound,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate
SSH-Patator,0.512345,0.323456,0.334567,0.345678,0.356789,0.367890,0.323456,0.334567,0.345678,0.356789,0.323456,0.334567,0.345678,0.334567,0.345678,0.356789,0.367890,0.378901,0.389012,0.323456,0.334567,0.345678,0.356789,0.323456,0.334567,0.345678,0.356789,0.323456,0.334567,0.345678,0.356789,0.323456,0.334567,0.345678,0.356789,0.323456,0.334567,0.345678,0.356789,0.323456,0.334567,0.345678,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.323456,0.334567,0.367890,0.323456,0.356789,0.323456,0.345678,0.334567,0.356789,0.323456,0.334567,0.345678,0.356789,0.223456,0.234567,0.245678,0.256789,0.267890,0.278901,0.289012,0.290123,0.112345,0.123456,0.134567,0.145678,0.156789,0.167890,0.178901
Web Attack Brute Force,0.423456,0.534567,0.245678,0.256789,0.167890,0.178901,0.234567,0.245678,0.256789,0.267890,0.234567,0.245678,0.256789,0.345678,0.356789,0.367890,0.278901,0.289012,0.290123,0.234567,0.245678,0.256789,0.267890,0.234567,0.245678,0.256789,0.267890,0.234567,0.245678,0.256789,0.267890,0.234567,0.245678,0.256789,0.267890,0.234567,0.245678,0.256789,0.267890,0.234567,0.245678,0.256789,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.234567,0.245678,0.178901,0.234567,0.267890,0.534567,0.256789,0.245678,0.167890,0.234567,0.245678,0.256789,0.267890,0.123456,0.134567,0.145678,0.156789,0.167890,0.178901,0.189012,0.190123,0.012345,0.023456,0.034567,0.045678,0.056789,0.067890,0.078901
Web Attack Sql Injection,0.345678,0.456789,0.267890,0.278901,0.189012,0.190123,0.256789,0.267890,0.278901,0.289012,0.256789,0.267890,0.278901,0.367890,0.378901,0.289012,0.290123,0.301234,0.312345,0.256789,0.267890,0.278901,0.289012,0.256789,0.267890,0.278901,0.289012,0.256789,0.267890,0.278901,0.289012,0.256789,0.267890,0.278901,0.289012,0.256789,0.267890,0.278901,0.289012,0.256789,0.267890,0.278901,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.256789,0.267890,0.190123,0.256789,0.289012,0.456789,0.278901,0.267890,0.189012,0.256789,0.267890,0.278901,0.289012,0.134567,0.145678,0.156789,0.167890,0.178901,0.189012,0.190123,0.201234,0.023456,0.034567,0.045678,0.056789,0.067890,0.078901,0.089012
Web Attack XSS,0.267890,0.378901,0.189012,0.190123,0.201234,0.212345,0.178901,0.189012,0.190123,0.201234,0.178901,0.189012,0.190123,0.289012,0.290123,0.201234,0.212345,0.223456,0.234567,0.178901,0.189012,0.190123,0.201234,0.178901,0.189012,0.190123,0.201234,0.178901,0.189012,0.190123,0.201234,0.178901,0.189012,0.190123,0.201234,0.178901,0.189012,0.190123,0.201234,0.178901,0.189012,0.190123,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.178901,0.189012,0.212345,0.178901,0.201234,0.378901,0.190123,0.189012,0.201234,0.178901,0.189012,0.190123,0.201234,0.056789,0.067890,0.078901,0.089012,0.090123,0.101234,0.112345,0.123456,0.034567,0.045678,0.056789,0.067890,0.078901,0.089012,0.090123
BENIGN,0.550538,0.387267,0.645715,0.419704,0.326424,0.543901,0.213913,0.547779,0.310499,0.406832,0.187985,0.349634,0.555951,0.378537,0.278022,0.396566,0.221264,0.465900,0.331158,0.521050,0.399248,0.480148,0.574480,0.234082,0.341115,0.256428,0.484124,0.369597,0.507706,0.440978,0.371572,0.325697,0.267055,0.486478,0.537667,0.533744,0.381174,0.326680,0.524987,0.376988,0.261427,0.377163,0.059083,0.379456,0.317322,0.413682,0.545543,0.091568,0.021462,0.429643,0.381174,0.326680,0.543901,0.381174,0.326680,0.387267,0.419704,0.645715,0.326424,0.550538,0.387267,0.645715,0.419704,0.266327,0.299654,0.545543,0.059083,0.379456,0.317322,0.413682,0.545543,0.091568,0.021462,0.429643,0.381174,0.326680,0.387267,0.645715
Bot,0.418869,0.302380,0.321748,0.152475,0.190572,0.232836,0.139024,0.445768,0.311987,0.139524,0.331088,0.175482,0.324537,0.356891,0.143274,0.567823,0.389401,0.357824,0.246893,0.332178,0.318923,0.128374,0.410234,0.397642,0.218394,0.403728,0.287463,0.199842,0.328475,0.084327,0.231784,0.367892,0.295831,0.247583,0.423786,0.384627,0.339218,0.371827,0.283942,0.179238,0.394728,0.261834,0.097843,0.085367,0.342895,0.307862,0.379418,0.261834,0.270839,0.218734,0.384627,0.321748,0.232836,0.208374,0.247583,0.302380,0.152475,0.321748,0.190572,0.256738,0.198374,0.316284,0.284739,0.724836,0.658923,0.712839,0.778934,0.367824,0.204937,0.347892,0.261834,0.097843,0.402738,0.258349,0.317482,0.148379,0.394728,0.368291
DDoS,0.054832,0.194827,0.074839,0.117385,0.083742,0.194827,0.074839,0.117385,0.083742,0.194827,0.074839,0.117385,0.083742,0.928374,0.976834,0.091847,0.138274,0.197384,0.118273,0.061847,0.197384,0.128473,0.079384,0.114827,0.128473,0.197384,0.114827,0.097384,0.189273,0.054832,0.137284,0.121837,0.079384,0.098472,0.134827,0.198274,0.119384,0.031847,0.158273,0.117384,0.063847,0.119384,0.000000,0.000000,0.157382,0.000000,0.000000,0.079384,0.000000,0.000000,0.061847,0.058473,0.144827,0.194827,0.098472,0.194827,0.117385,0.074839,0.083742,0.148273,0.134827,0.081847,0.138274,0.042374,0.063847,0.174827,0.106847,0.074839,0.066847,0.097384,0.081847,0.194827,0.074839,0.117385,0.083742,0.194827,0.074839,0.117385
DoS GoldenEye,0.201847,0.257384,0.219384,0.221847,0.148273,0.125384,0.113847,0.106384,0.179384,0.208473,0.108384,0.123847,0.247384,0.754827,0.197384,0.126847,0.232847,0.074839,0.267384,0.226384,0.173827,0.163847,0.208473,0.192847,0.217384,0.061847,0.257384,0.281384,0.109384,0.212847,0.281384,0.211847,0.226847,0.189384,0.248473,0.136847,0.189384,0.222847,0.111384,0.179384,0.257384,0.190384,0.038473,0.136847,0.111847,0.226847,0.000000,0.000000,0.000000,0.000000,0.225827,0.211847,0.125384,0.212847,0.248473,0.257384,0.221847,0.219384,0.148273,0.210847,0.177384,0.136847,0.111847,0.191847,0.257384,0.270847,0.179384,0.090847,0.101847,0.202847,0.213847,0.025384,0.036847,0.047384,0.058847,0.069384,0.080847,0.091847
DoS Hulk,0.278473,0.198473,0.224384,0.251384,0.194384,0.714827,0.078473,0.198473,0.224384,0.251384,0.078473,0.198473,0.224384,0.735827,0.278473,0.198473,0.224384,0.251384,0.194384,0.278473,0.198473,0.224384,0.251384,0.194384,0.278473,0.198473,0.224384,0.251384,0.194384,0.278473,0.198473,0.224384,0.251384,0.194384,0.278473,0.198473,0.224384,0.251384,0.194384,0.278473,0.198473,0.224384,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.278473,0.198473,0.714827,0.278473,0.194384,0.198473,0.251384,0.224384,0.194384,0.278473,0.198473,0.224384,0.251384,0.034847,0.046384,0.058847,0.070384,0.081847,0.093384,0.104847,0.116384,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DoS Slowhttptest,0.834827,0.078473,0.090384,0.101847,0.113384,0.124847,0.078473,0.090384,0.101847,0.113384,0.078473,0.090384,0.101847,0.067384,0.078473,0.090384,0.101847,0.113384,0.124847,0.078473,0.090384,0.101847,0.113384,0.078473,0.090384,0.101847,0.113384,0.078473,0.090384,0.101847,0.113384,0.078473,0.090384,0.101847,0.113384,0.078473,0.090384,0.101847,0.113384,0.078473,0.090384,0.101847,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.078473,0.090384,0.124847,0.078473,0.113384,0.078473,0.101847,0.090384,0.113384,0.078473,0.090384,0.101847,0.113384,0.023847,0.035384,0.046847,0.058384,0.069847,0.081384,0.092847,0.104384,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DoS Slowloris,0.867384,0.067384,0.078473,0.090384,0.101847,0.113384,0.067384,0.078473,0.090384,0.101847,0.067384,0.078473,0.090384,0.056847,0.067384,0.078473,0.090384,0.101847,0.113384,0.067384,0.078473,0.090384,0.101847,0.067384,0.078473,0.090384,0.101847,0.067384,0.078473,0.090384,0.101847,0.067384,0.078473,0.090384,0.101847,0.067384,0.078473,0.090384,0.101847,0.067384,0.078473,0.090384,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067384,0.078473,0.113384,0.067384,0.101847,0.067384,0.090384,0.078473,0.101847,0.067384,0.078473,0.090384,0.101847,0.023847,0.035384,0.046847,0.058384,0.069847,0.081384,0.092847,0.104384,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
FTP-Patator,0.401384,0.245847,0.257384,0.268847,0.280384,0.291847,0.245847,0.257384,0.268847,0.280384,0.245847,0.257384,0.268847,0.257384,0.268847,0.280384,0.291847,0.303384,0.314847,0.245847,0.257384,0.268847,0.280384,0.245847,0.257384,0.268847,0.280384,0.245847,0.257384,0.268847,0.280384,0.245847,0.257384,0.268847,0.280384,0.245847,0.257384,0.268847,0.280384,0.245847,0.257384,0.268847,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.245847,0.257384,0.291847,0.245847,0.280384,0.245847,0.268847,0.257384,0.280384,0.245847,0.257384,0.268847,0.280384,0.134847,0.146384,0.157847,0.169384,0.180847,0.192384,0.203847,0.215384,0.023847,0.035384,0.046847,0.058384,0.069847,0.081384,0.092847
Infiltration,0.323847,0.435384,0.446847,0.458384,0.469847,0.481384,0.435384,0.446847,0.458384,0.469847,0.435384,0.446847,0.458384,0.446847,0.458384,0.469847,0.481384,0.492847,0.504384,0.435384,0.446847,0.458384,0.469847,0.435384,0.446847,0.458384,0.469847,0.435384,0.446847,0.458384,0.469847,0.435384,0.446847,0.458384,0.469847,0.435384,0.446847,0.458384,0.469847,0.435384,0.446847,0.458384,0.034847,0.046384,0.058847,0.070384,0.081847,0.000000,0.000000,0.000000,0.435384,0.446847,0.481384,0.435384,0.469847,0.435384,0.458384,0.446847,0.469847,0.435384,0.446847,0.458384,0.469847,0.234847,0.246384,0.257847,0.269384,0.280847,0.292384,0.303847,0.315384,0.123847,0.135384,0.146847,0.158384,0.169847,0.181384,0.192847
PortScan,0.045384,0.056847,0.000000,0.000000,0.000000,0.067384,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023847,0.035384,0.046847,0.000000,0.035384,0.046847,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023847,0.000000,0.023847,0.000000,0.000000,0.046847,0.035384,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.035384,0.067384,0.000000,0.000000,0.056847,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023847,0.023847,0.000000,0.023847,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
SSH-Patator,0.523847,0.335384,0.346847,0.358384,0.369847,0.381384,0.335384,0.346847,0.358384,0.369847,0.335384,0.346847,0.358384,0.346847,0.358384,0.369847,0.381384,0.392847,0.404384,0.335384,0.346847,0.358384,0.369847,0.335384,0.346847,0.358384,0.369847,0.335384,0.346847,0.358384,0.369847,0.335384,0.346847,0.358384,0.369847,0.335384,0.346847,0.358384,0.369847,0.335384,0.346847,0.358384,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.335384,0.346847,0.381384,0.335384,0.369847,0.335384,0.358384,0.346847,0.369847,0.335384,0.346847,0.358384,0.369847,0.234847,0.246384,0.257847,0.269384,0.280847,0.292384,0.303847,0.315384,0.123847,0.135384,0.146847,0.158384,0.169847,0.181384,0.192847
Web Attack Brute Force,0.435384,0.546847,0.257384,0.268847,0.180384,0.191847,0.245847,0.257384,0.268847,0.280384,0.245847,0.257384,0.268847,0.357384,0.369847,0.381384,0.291847,0.303384,0.314847,0.245847,0.257384,0.268847,0.280384,0.245847,0.257384,0.268847,0.280384,0.245847,0.257384,0.268847,0.280384,0.245847,0.257384,0.268847,0.280384,0.245847,0.257384,0.268847,0.280384,0.245847,0.257384,0.268847,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.245847,0.257384,0.191847,0.245847,0.280384,0.546847,0.268847,0.257384,0.180384,0.245847,0.257384,0.268847,0.280384,0.134847,0.146384,0.157847,0.169384,0.180847,0.192384,0.203847,0.215384,0.023847,0.035384,0.046847,0.058384,0.069847,0.081384,0.092847
Web Attack Sql Injection,0.357384,0.469847,0.280384,0.291847,0.203384,0.214847,0.268847,0.280384,0.291847,0.303384,0.268847,0.280384,0.291847,0.380384,0.391847,0.303384,0.314847,0.326384,0.337847,0.268847,0.280384,0.291847,0.303384,0.268847,0.280384,0.291847,0.303384,0.268847,0.280384,0.291847,0.303384,0.268847,0.280384,0.291847,0.303384,0.268847,0.280384,0.291847,0.303384,0.268847,0.280384,0.291847,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.268847,0.280384,0.214847,0.268847,0.303384,0.469847,0.291847,0.280384,0.203384,0.268847,0.280384,0.291847,0.303384,0.146847,0.158384,0.169847,0.181384,0.192847,0.204384,0.215847,0.227384,0.035847,0.047384,0.058847,0.070384,0.081847,0.093384,0.104847
Web Attack XSS,0.280384,0.391847,0.203384,0.214847,0.226384,0.237847,0.191847,0.203384,0.214847,0.226384,0.191847,0.203384,0.214847,0.303384,0.314847,0.214847,0.226384,0.237847,0.248384,0.191847,0.203384,0.214847,0.226384,0.191847,0.203384,0.214847,0.226384,0.191847,0.203384,0.214847,0.226384,0.191847,0.203384,0.214847,0.226384,0.191847,0.203384,0.214847,0.226384,0.191847,0.203384,0.214847,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.191847,0.203384,0.237847,0.191847,0.226384,0.391847,0.214847,0.203384,0.214847,0.191847,0.203384,0.214847,0.226384,0.069847,0.081384,0.092847,0.104384,0.115847,0.127384,0.138847,0.150384,0.047384,0.058847,0.070384,0.081847,0.093384,0.104847,0.116384
BENIGN,0.412373,0.718493,0.534827,0.478293,0.284738,0.427839,0.183928,0.639274,0.428374,0.318473,0.267382,0.481274,0.392748,0.293847,0.247382,0.473829,0.317483,0.528374,0.403829,0.492738,0.378294,0.527384,0.473829,0.312847,0.401283,0.307482,0.518293,0.447293,0.481273,0.510273,0.447293,0.409273,0.347384,0.578293,0.629473,0.617384,0.469273,0.408293,0.612384,0.458293,0.349273,0.459273,0.071384,0.461293,0.405273,0.497384,0.627384,0.109273,0.032847,0.511384,0.469273,0.408293,0.427839,0.469273,0.408293,0.718493,0.478293,0.534827,0.284738,0.412373,0.718493,0.534827,0.478293,0.348273,0.381847,0.627384,0.071384,0.461293,0.405273,0.497384,0.627384,0.109273,0.032847,0.511384,0.469273,0.408293,0.718493,0.534827
Bot,0.528473,0.389273,0.407384,0.238293,0.272847,0.318293,0.221384,0.531273,0.398293,0.221384,0.417384,0.261293,0.410293,0.443273,0.229384,0.652273,0.475293,0.443273,0.332293,0.418293,0.404273,0.214384,0.496293,0.483293,0.303293,0.489293,0.373293,0.285293,0.414293,0.120384,0.317293,0.453293,0.381293,0.333293,0.509293,0.470293,0.425293,0.457293,0.369293,0.265293,0.480293,0.347293,0.183293,0.171293,0.428293,0.393293,0.465293,0.347293,0.356293,0.304293,0.470293,0.407384,0.318293,0.294384,0.333293,0.389273,0.238293,0.407384,0.272847,0.342293,0.284293,0.402293,0.370293,0.810293,0.744293,0.798293,0.864293,0.453293,0.290293,0.433293,0.347293,0.183293,0.488293,0.344293,0.403293,0.234293,0.480293,0.454293
DDoS,0.061384,0.201293,0.081293,0.124293,0.090293,0.201293,0.081293,0.124293,0.090293,0.201293,0.081293,0.124293,0.090293,0.935293,0.983293,0.098293,0.145293,0.204293,0.125293,0.068293,0.204293,0.135293,0.086293,0.121293,0.135293,0.204293,0.121293,0.104293,0.196293,0.061293,0.144293,0.128293,0.086293,0.105293,0.141293,0.205293,0.126293,0.038293,0.165293,0.124293,0.070293,0.126293,0.000000,0.000000,0.164293,0.000000,0.000000,0.086293,0.000000,0.000000,0.068293,0.065293,0.151293,0.201293,0.105293,0.201293,0.124293,0.081293,0.090293,0.155293,0.141293,0.088293,0.145293,0.049293,0.070293,0.181293,0.113293,0.081293,0.073293,0.104293,0.088293,0.201293,0.081293,0.124293,0.090293,0.201293,0.081293,0.124293
